17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
17:14:28.695089 router is listening at :3000
17:15:08.088255 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 8.7ms
17:15:08.120023 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:11.417357 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 5.9ms
17:15:11.433310 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:14.418612 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 1.8ms
17:15:14.434867 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:17.431863 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is dropped
17:15:20.434446 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is dropped
17:15:23.443909 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is dropped
17:15:26.448162 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 9.4ms
17:15:26.464106 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:29.464212 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 6.2ms
17:15:29.480458 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:32.469293 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 2.8ms
17:15:32.485549 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:35.473191 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 1.1ms
17:15:35.489378 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:38.477391 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 3.7ms
17:15:38.493756 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:41.492005 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 9.5ms
17:15:41.508212 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:44.502646 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 2.8ms
17:15:44.518866 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:47.518387 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 4.7ms
17:15:47.534771 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
17:15:50.523567 [queue=1] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delayed for 8.7ms
17:15:50.539632 [queue=0] packet #1, 127.0.0.1:53860 -> 127.0.0.1:8080, sz=14 is delivered
